,Account,Company,Order,SKU,Country,Year,Quantity,UnitPrice,transactionComplete
0,123456779,Kulas Inc,99985,s9-supercomputer,Aruba,1981,5148,545,False
1,123456784,GitHub,99986,s4-supercomputer,Brazil,2001,3262,383,False
2,123456782,Kulas Inc,99990,s10-supercomputer,Montserrat,1973,9119,407,True
3,123456783,My SQ Man,99999,s1-supercomputer,El Salvador,2015,3097,615,False
4,123456787,ABC Dogma,99996,s6-supercomputer,Poland,1970,3356,91,True
5,123456778,Super Sexy Dingo,99996,s9-supercomputer,Costa Rica,2004,2474,136,True
6,123456783,ABC Dogma,99981,s11-supercomputer,Spain,2006,4081,195,False
7,123456785,ABC Dogma,99998,s9-supercomputer,Belarus,2015,6576,603,False
8,123456778,Loolo INC,99997,s8-supercomputer,Mauritius,1999,2460,36,False
9,123456775,Kulas Inc,99997,s7-supercomputer,French Guiana,2004,1831,664,True
10,123456775,Pryianka Ji,99987,s1-supercomputer,Armenia,1997,3070,300,False
11,123456775,Super Sexy Dingo,99996,s2-supercomputer,Armenia,1976,3235,193,True
12,123456773,ABC Dogma,99980,s6-supercomputer,Slovakia (Slovak Republic),1997,7559,186,False
13,123456788,Will LLC,99995,s2-supercomputer,Niger,2008,8700,547,False
14,123456781,Kulas Inc,99989,s6-supercomputer,Israel,1994,4797,386,True
15,123456775,SAS Web Tec,99993,s5-supercomputer,Kazakhstan,1998,8707,596,True
16,123456780,Kulas Inc,99985,s11-supercomputer,Wallis and Futuna,2012,572,697,False
17,123456785,GitHub,99999,s2-supercomputer,Switzerland,1978,6185,645,False
18,123456788,Kulas Inc,99989,s5-supercomputer,Cayman Islands,2017,7092,298,False
19,123456772,Will LLC,99998,s6-supercomputer,Croatia,1986,1066,10,False
20,123456772,Super Sexy Dingo,99994,s2-supercomputer,Albania,2007,5337,466,True
21,123456770,ABC Dogma,99990,s7-supercomputer,Sri Lanka,1996,2875,386,True
22,123456787,Loolo INC,99989,s7-supercomputer,Svalbard & Jan Mayen Islands,1979,3133,371,False
23,123456773,Gen Power,99987,s2-supercomputer,Azerbaijan,1989,9431,612,False
24,123456773,My SQ Man,99994,s8-supercomputer,Georgia,2015,3473,26,True
25,123456784,Kulas Inc,99982,s9-supercomputer,Guinea,2019,1719,166,False
26,123456786,Name IT,99985,s3-supercomputer,Croatia,2007,2857,359,False
27,123456785,Will LLC,99996,s8-supercomputer,Cote d'Ivoire,1987,6990,649,True
28,123456778,Kirlosker Service Center,99985,s3-supercomputer,Iceland,2005,128,688,False
29,123456781,Super Sexy Dingo,99990,s9-supercomputer,Jordan,1999,361,91,False
30,123456787,Pryianka Ji,99989,s1-supercomputer,Oman,2018,4873,618,True
31,123456781,My SQ Man,99995,s4-supercomputer,Falkland Islands (Malvinas),2013,6972,162,False
32,123456776,Kirlosker Service Center,99989,s1-supercomputer,Malawi,2012,5863,104,True
33,123456786,Loolo INC,99989,s11-supercomputer,Syrian Arab Republic,1986,4433,519,False
